categroy_id,categroy_name,parent_id
062fc76f7f0f4032bb80cb90cae3ee5e,"Long Johns",ad0702d9fc2044b4842938f311ce300f
063f4e51491948328c5304b7ea87109f,"Sports Collectibles",f4028ec402d94a03a68546b104051372
06417810c8384c06836ad1109f34fc81,"Paintball Gun Parts & Accessories",eebaeec5acc146578cc931b643786d8f
0650b1b1e7374f1082f8afa5f4ff3876,"Camera & Optic Replacement Cables",b10836a5a9304753b7f44713cccea01d
065a9510026a4c40980fd27db99ef74c,"Media Storage Cabinets & Racks",23618a8be53546b58cc60f8365c4cc26
065ceb7215584964af71afd009b8c9bb,Barley,cf1378df2fce4222ba3fc7dc06d6256a
0661e71061344eeb82cdee4d0c2f3e97,"Body Fat Analyzers",3b6d4a7d39684948baa2c7f8fcfe73c9
067c61e42b71457fa96b53e67ef3d1db,"Motor Vehicle Braking",ea9eda63992844708ad6706809daba39
067d5338d0264256bbceead4920c1fe4,Borescopes,1c1c39092792444da6915556d4e1893d
06828e758886442a9a47674ac69a96a9,"Futon Dryers",cfeaaca6afc045059d183e441de91e29
068c273d2cec4b658338230d0f3a256c,"Fireman's Masks",32ac241197e74061abbcd55364ff1629
068d63b1438f4de8a92b45607ba02fe4,Masks,517fa5b3626744dc992eabd6b3075b83
06a2f89a75ce46a5bb5fbc20970d97f8,"Badminton Racquets & Sets",e7fd3ef131e44c89b37575b5bdab08f8
06c832e4236244e783958034859ab530,"Blood Pressure Monitor Accessories",00273e0123d840da81e3f5f82b0a3806
06cb5dcccc0846abab85c76467cf538a,"Faucet Accessories",08a7feb821cc4b2bb645634c605bb28c
06cb78243310464c9e682bcd7a33bfcf,Handbags,51d000ba5de84864bd8bc7f64c5fca19
06d7bd8b59c449b28e3f2622c99274ac,Beakers,7c329a0bd693430e953ce666e788cce0
06f1950c939c46a68363ec4a2f30b941,"Baby Mobile Accessories",99c499fb35eb41ffbde7725c2698e88f
06fe369d2e3746349d27c5f03c65e216,"Hook and Loop Fasteners",f724105d627a49a591daa332de121847
0721953df0444f16995426a8343ef010,"Wire Caps & Nuts",52d1fd47e8f64385b659d2bc6ef88e4e
072c2cfeca734262b424b7749e19e93b,"Measuring Tool & Sensor Accessories",62c1612a96734ff3a022ebf470d36e57
07391406d6ae47a4a263540ea9941a26,Hygrometers,5192d0ece11e4321bc9c2564d88a380e
073e22bc8d444b12a653e1e7490f70b8,"Food Dehydrators",dee5b8311ce54603bdfbc666041ec6c0
0741f2a7da664107929d9d2a8c3bd058,Cycling,e7cd8503854c4b8fba3ae180a6d87a8e
074caf853a84402fba01f99930d77820,"Toner & Inkjet Cartridges",f158d0904166445d9a07c78fe4639864
0752384fcb834ba6aed712bebabbb103,"Knife Guides",5192d0ece11e4321bc9c2564d88a380e
0759cf5f4eb244128c069168c36e8a60,"Ice Pops",14a07875780e47ffb217f77e47a60fc6
07658229781046b399c9d0687400b776,"Softball Uniforms",b2ba9eaecfd843acbf142c6c46a92522
077693f8c02949c59284ea4b0eb8bb87,"Clubs & Batons",212320e64465474ca9589476eefc6d6f
07779e76343d493795e715cc938e9c08,"Dairy Products",bb6798e9aae746f0b14d8dca9d7c6a67
077e287f14a94468b92010e52386a277,"Tabi Socks",e793baf5906b471d826af8041db59fda
07945bd3d30043299e76269e383925f9,"Cardio Machine Accessories",8a02b0ededb741df970469e05aca516f
079ca0e9ed8045999b4dd737884d2230,"Saddle Covers & Cases",4d8cc4dddeac4faca8e4d864ffe30b3d
